-0.22	-0.20	-9.73	0.00	0.00	0.00	347364.09
-0.20	-0.21	-9.77	-0.06	0.19	-0.06	347364.12
-0.21	-0.23	-9.72	-0.06	0.25	-0.06	347364.15
-0.19	-0.20	-9.72	0.12	-0.06	0.12	347364.18
-0.20	-0.22	-9.73	0.00	-0.12	0.06	347364.21
-0.22	-0.21	-9.72	0.06	0.12	0.00	347364.21
-0.21	-0.21	-9.72	0.06	0.00	0.12	347364.25
-0.20	-0.21	-9.74	-0.06	-0.06	0.06	347364.28
-0.22	-0.22	-9.73	0.12	0.00	-0.06	347364.31
-0.20	-0.21	-9.80	0.19	0.06	0.00	347364.34
-0.22	-0.21	-9.73	0.06	-0.06	0.06	347364.34
-0.21	-0.20	-9.82	0.06	0.00	-0.06	347364.37
-0.23	-0.23	-9.73	0.00	0.12	0.00	347364.40
-0.21	-0.21	-9.81	-0.06	-0.12	0.06	347364.43
-0.21	-0.23	-9.74	0.12	-0.06	0.00	347364.46
-0.22	-0.22	-9.82	0.00	-0.06	0.00	347364.46
-0.19	-0.22	-9.73	0.06	-0.06	0.00	347364.50
-0.21	-0.20	-9.82	0.12	-0.19	0.00	347364.53
-0.21	-0.22	-9.73	0.00	0.00	0.12	347364.56
-0.22	-0.21	-9.83	0.00	0.06	0.00	347364.59
-0.20	-0.20	-9.69	0.06	-0.12	-0.12	347364.62
-0.21	-0.21	-9.80	-0.06	0.06	0.00	347364.62
-0.21	-0.20	-9.70	0.06	-0.06	0.12	347364.68
-0.21	-0.21	-9.76	0.06	0.00	-0.12	347364.71
-0.20	-0.22	-9.71	-0.06	-0.06	-0.06	347364.75
-0.21	-0.21	-9.76	-0.06	-0.25	-0.06	347364.78
-0.21	-0.20	-9.77	0.00	0.12	-0.12	347364.78
-0.22	-0.21	-9.76	-0.12	0.00	0.06	347364.81
-0.22	-0.20	-9.73	0.06	-0.06	0.00	347364.84
-0.20	-0.20	-9.73	0.00	0.00	0.12	347364.87
-0.20	-0.22	-9.70	0.06	-0.12	-0.12	347364.90
-0.21	-0.21	-9.74	0.00	0.00	-0.06	347364.93
-0.18	-0.20	-9.72	-0.19	0.12	0.00	347364.93
-0.21	-0.21	-9.74	-0.06	0.06	0.06	347364.96
-0.21	-0.20	-9.70	-0.19	0.00	0.06	347365.00
-0.20	-0.21	-9.73	-0.06	0.06	-0.06	347365.03
-0.22	-0.22	-9.80	0.06	0.00	-0.06	347365.06
-0.21	-0.21	-9.73	0.06	0.00	-0.12	347365.06
-0.20	-0.22	-9.79	-0.06	0.12	-0.12	347365.09
-0.20	-0.22	-9.71	0.00	0.12	0.00	347365.12
-0.20	-0.20	-9.82	0.06	0.00	0.06	347365.15
-0.21	-0.22	-9.73	0.00	0.00	-0.12	347365.18
-0.22	-0.21	-9.80	0.00	-0.06	0.00	347365.18
-0.22	-0.21	-9.70	-0.06	0.00	0.06	347365.21
