0.65	0.58	9.74	-0.06	0.06	0.06	58842.15
0.70	0.60	9.77	0.12	0.19	0.06	58842.17
0.70	0.57	9.72	0.12	-0.06	0.00	58842.19
0.72	0.58	9.76	0.00	0.06	-0.12	58842.21
0.70	0.59	9.76	0.12	0.12	-0.12	58842.23
0.67	0.59	9.76	0.00	0.00	0.06	58842.25
0.64	0.60	9.76	0.12	0.00	-0.06	58842.27
0.66	0.58	9.71	0.12	0.12	0.00	58842.29
0.67	0.60	9.79	0.00	0.19	0.00	58842.31
0.70	0.62	9.75	0.00	0.19	-0.06	58842.33
0.71	0.61	9.74	0.06	0.06	0.00	58842.35
0.70	0.59	9.80	0.00	0.06	-0.12	58842.37
0.67	0.61	9.72	0.12	0.06	-0.12	58842.39
0.66	0.57	9.74	-0.06	0.06	0.12	58842.41
0.67	0.57	9.72	-0.12	0.00	-0.19	58842.43
0.70	0.59	9.76	-0.12	0.00	0.06	58842.46
0.72	0.57	9.74	0.12	0.19	0.00	58842.47
0.69	0.58	9.72	0.25	0.25	-0.06	58842.50
0.67	0.59	9.77	0.00	-0.06	0.06	58842.51
0.66	0.58	9.79	0.00	-0.06	0.00	58842.53
0.67	0.58	9.74	0.12	-0.12	-0.06	58842.55
0.69	0.60	9.76	0.12	0.06	-0.06	58842.57
0.70	0.61	9.73	0.12	0.00	0.00	58842.60
0.70	0.61	9.75	-0.06	0.00	-0.06	58842.62
0.67	0.59	9.77	-0.06	-0.19	0.06	58842.64
0.67	0.60	9.74	0.00	-0.12	-0.12	58842.66
0.68	0.59	9.81	-0.12	0.00	0.00	58842.67
0.69	0.58	9.69	-0.06	0.06	-0.06	58842.69
0.68	0.59	9.77	-0.06	-0.19	-0.06	58842.71
0.72	0.59	9.80	0.00	0.00	0.00	58842.73
0.72	0.60	9.74	-0.06	-0.19	0.00	58842.76
0.67	0.59	9.72	0.06	0.00	0.06	58842.78
0.68	0.62	9.71	0.12	0.00	-0.12	58842.80
0.67	0.57	9.76	-0.06	0.00	0.06	58842.82
0.68	0.59	9.78	0.00	-0.12	0.06	58842.83
0.70	0.59	9.71	0.00	-0.06	0.19	58842.85
0.68	0.58	9.77	-0.06	-0.06	-0.06	58842.87
0.70	0.58	9.77	0.00	0.06	-0.06	58842.89
0.71	0.57	9.76	0.19	0.12	-0.06	58842.91
0.69	0.54	9.78	0.06	0.12	-0.06	58842.94
0.67	0.57	9.76	0.12	0.00	0.12	58842.96
0.67	0.59	9.76	0.00	-0.12	-0.06	58842.98
0.70	0.59	9.74	0.06	0.06	-0.25	58843.00
