0.76	0.58	9.78	-0.12	0.06	0.06	58907.91
0.78	0.57	9.80	-0.12	-0.06	0.06	58907.93
0.77	0.57	9.74	0.06	0.12	0.00	58907.95
0.74	0.56	9.75	-0.19	-0.19	0.19	58907.97
0.75	0.56	9.70	0.00	0.12	0.12	58907.99
0.73	0.55	9.75	-0.12	-0.19	0.12	58908.01
0.76	0.59	9.68	0.06	0.06	0.00	58908.03
0.73	0.60	9.69	-0.06	-0.12	0.06	58908.05
0.76	0.59	9.79	-0.12	-0.06	0.06	58908.07
0.76	0.58	9.72	-0.06	-0.06	0.06	58908.09
0.74	0.58	9.78	-0.06	-0.12	0.00	58908.11
0.77	0.58	9.72	0.00	0.19	-0.06	58908.13
0.74	0.58	9.72	-0.12	0.00	0.12	58908.15
0.74	0.60	9.75	-0.06	0.06	0.06	58908.17
0.75	0.57	9.72	-0.06	0.06	0.00	58908.19
0.74	0.56	9.75	-0.06	0.19	0.06	58908.21
0.74	0.59	9.79	-0.19	-0.06	0.12	58908.23
0.75	0.58	9.77	0.00	-0.06	0.00	58908.25
0.73	0.61	9.80	-0.19	0.00	0.12	58908.27
0.75	0.60	9.69	0.00	-0.06	0.06	58908.29
0.74	0.58	9.76	-0.06	-0.12	0.00	58908.31
0.73	0.58	9.73	0.00	0.25	0.06	58908.33
0.73	0.58	9.72	-0.06	-0.25	0.12	58908.35
0.76	0.57	9.78	0.12	-0.19	0.19	58908.37
0.75	0.58	9.70	-0.12	-0.19	-0.12	58908.39
0.77	0.58	9.79	0.00	0.00	-0.12	58908.41
0.76	0.60	9.80	0.06	-0.12	-0.06	58908.43
0.76	0.59	9.73	0.00	-0.06	0.06	58908.45
0.72	0.59	9.79	0.06	0.00	0.00	58908.47
0.73	0.57	9.69	0.00	0.06	-0.06	58908.49
0.73	0.59	9.76	-0.06	-0.12	0.06	58908.51
0.75	0.58	9.74	-0.06	-0.06	0.00	58908.53
0.74	0.59	9.74	0.06	-0.06	-0.06	58908.55
0.73	0.60	9.78	0.00	-0.12	0.00	58908.57
0.75	0.61	9.72	0.00	-0.06	-0.12	58908.59
0.75	0.57	9.80	-0.06	-0.06	0.00	58908.61
0.74	0.58	9.78	0.06	0.00	0.06	58908.63
0.75	0.58	9.74	0.06	-0.06	-0.06	58908.65
0.76	0.57	9.72	0.00	-0.19	-0.06	58908.67
0.75	0.58	9.75	0.00	-0.06	0.06	58908.69
0.77	0.56	9.74	0.19	0.06	0.12	58908.71
0.73	0.57	9.78	0.19	0.00	-0.06	58908.73
0.75	0.58	9.72	0.00	-0.12	-0.06	58908.75
0.77	0.58	9.78	-0.19	0.00	-0.19	58908.77
0.76	0.56	9.74	0.06	0.06	-0.12	58908.79
0.76	0.61	9.78	0.00	0.00	0.12	58908.81
0.76	0.57	9.79	0.06	0.06	-0.12	58908.83
0.74	0.57	9.73	0.12	-0.19	0.00	58908.85
0.76	0.57	9.74	0.06	0.19	0.00	58908.87
0.76	0.59	9.71	0.00	0.12	0.06	58908.89
0.74	0.61	9.74	-0.06	-0.12	0.00	58908.91
0.74	0.58	9.77	0.00	0.06	-0.12	58908.94
0.76	0.57	9.72	-0.06	0.19	-0.19	58908.95
0.75	0.58	9.79	0.06	0.06	0.00	58908.98
0.74	0.57	9.71	0.06	-0.12	0.06	58908.99
0.75	0.58	9.76	0.06	-0.19	0.12	58909.01
0.74	0.58	9.79	0.06	-0.06	-0.06	58909.03
0.75	0.57	9.71	0.00	0.06	-0.12	58909.05
0.75	0.60	9.75	-0.06	-0.06	0.00	58909.07
0.74	0.58	9.70	0.00	-0.06	-0.12	58909.10
0.75	0.57	9.75	0.12	0.00	0.00	58909.12
0.75	0.58	9.78	0.00	0.06	0.06	58909.14
0.73	0.57	9.77	0.00	0.06	-0.12	58909.16
0.77	0.59	9.79	0.06	0.12	0.00	58909.17
0.75	0.58	9.70	0.00	0.06	-0.06	58909.19
0.77	0.57	9.74	0.19	0.06	0.00	58909.21
0.76	0.57	9.77	0.00	0.00	0.00	58909.23
0.75	0.59	9.75	0.19	0.19	-0.19	58909.26
0.72	0.58	9.76	-0.12	0.06	0.06	58909.28
0.74	0.57	9.68	0.00	0.12	0.06	58909.30
0.76	0.58	9.80	0.00	-0.06	0.00	58909.32
0.78	0.57	9.76	0.00	0.00	-0.06	58909.33
0.77	0.57	9.76	0.00	0.12	0.06	58909.35
0.75	0.58	9.81	0.00	0.06	0.00	58909.37
0.73	0.57	9.68	0.06	-0.06	-0.12	58909.39
0.78	0.57	9.77	0.00	-0.19	0.06	58909.41
0.73	0.60	9.74	0.00	-0.12	0.06	58909.44
0.77	0.58	9.71	0.06	0.19	-0.12	58909.46
0.76	0.57	9.76	0.00	0.00	0.00	58909.48
0.74	0.61	9.75	0.00	0.12	-0.12	58909.50
0.77	0.57	9.74	0.06	-0.06	0.00	58909.51
0.75	0.61	9.78	-0.06	-0.12	-0.06	58909.53
0.75	0.61	9.72	0.06	0.00	-0.06	58909.55
0.76	0.59	9.72	0.00	-0.19	0.12	58909.57
0.76	0.57	9.71	0.12	0.00	-0.12	58909.60
0.74	0.57	9.75	0.06	0.00	-0.06	58909.62
0.73	0.58	9.74	-0.06	0.00	-0.06	58909.64
0.75	0.57	9.74	0.00	-0.19	-0.06	58909.66
0.77	0.58	9.77	0.00	-0.12	-0.06	58909.68
